         Format: Kata | Kelas Kata | Arti / Definisi
Wajib        | Adjektiva  | Harus dilakukan; tidak boleh tidak; fardhu dalam agama
Warisan      | Nomina     | Harta atau nilai yang diturunkan dari generasi sebelumnya
Wisata       | Nomina     | Perjalanan untuk rekreasi dan menikmati keindahan alam
Yayasan      | Nomina     | Badan hukum nirlaba untuk kepentingan sosial
Zikir        | Nomina     | Pengucapan kalimat suci untuk mengingat Allah
Varian       | Nomina     | Bentuk atau jenis berbeda dari sesuatu yang sama
Viral        | Adjektiva  | Menyebar cepat di masyarakat melalui media sosial
Virtual      | Adjektiva  | Tidak nyata secara fisik; ada dalam dunia digital
Visioner     | Adjektiva  | Berpandangan jauh ke depan; mampu melihat potensi masa depan
Vital        | Adjektiva  | Sangat penting; tidak dapat diabaikan
Vokabular    | Nomina     | Perbendaharaan kata; kumpulan kata yang dimiliki seseorang
Volatil      | Adjektiva  | Mudah berubah; tidak stabil; fluktuatif
Volunter     | Nomina     | Relawan; orang yang secara sukarela membantu
Vulgar       | Adjektiva  | Kasar; tidak sopan; tidak sesuai dengan norma
Wacana       | Nomina     | Diskursus; pembicaraan atau tulisan yang lengkap
Wafat        | Verba      | Meninggal dunia; mati dengan hormat
Wanita       | Nomina     | Perempuan dewasa
Wujud        | Nomina     | Bentuk nyata dari sesuatu; keberadaan yang terlihat
Wewenang     | Nomina     | Hak dan kekuasaan resmi untuk bertindak dalam suatu bidang
Wahai        | Interjeksi | Kata seru untuk memanggil atau mengajak
Waras        | Adjektiva  | Sehat akal; tidak gila; berpikir normal
Waris        | Nomina     | Orang yang berhak menerima harta peninggalan
Wasiat       | Nomina     | Pesan terakhir sebelum meninggal; amanat penting
Wawancara    | Nomina     | Tanya jawab antara pewawancara dan narasumber
Welas asih   | Nomina     | Rasa belas kasih; kepedulian yang mendalam terhadap sesama
Wibawa       | Nomina     | Kekuatan kharisma yang membuat orang segan dan hormat
Wirausaha    | Nomina     | Orang yang berani membuka usaha sendiri secara mandiri
Wujudkan     | Verba      | Mewujudkan; menjadikan sesuatu yang ada dalam pikiran nyata
Ximenia      | Nomina     | Genus tumbuhan tropis dengan buah berbiji
Xenofobia    | Nomina     | Ketakutan atau kebencian terhadap orang asing
Yatim        | Nomina     | Anak yang tidak memiliki ayah karena meninggal
Yel          | Nomina     | Teriakan bersama sebagai ungkapan semangat
Zakat        | Nomina     | Kewajiban memberi sebagian harta kepada yang berhak
Zalim        | Adjektiva  | Kejam; tidak adil; suka menyiksa orang lain
Zona         | Nomina     | Kawasan; daerah dengan batas dan fungsi tertentu
Wortel       | Nomina     | Sayuran berwarna oranye kaya vitamin A
Wujud        | Nomina     | Bentuk nyata; rupa lahiriah suatu benda
Waras        | Adjektiva  | Sehat jasmani dan rohani; berpikir normal
Waspada      | Adjektiva  | Siaga; selalu berhati-hati menghadapi kemungkinan bahaya
Warung       | Nomina     | Kedai kecil tempat menjual makanan atau kebutuhan sehari-hari
Wilayah      | Nomina     | Daerah; kawasan dengan batas-batas tertentu
Wiraswasta   | Nomina     | Usaha mandiri; seseorang yang mengelola usahanya sendiri
Wisata       | Nomina     | Perjalanan untuk menikmati keindahan; rekreasi
Wujud nyata  | Nomina     | Bentuk konkret dari sesuatu yang ada
Yudisial     | Adjektiva  | Berkaitan dengan pengadilan dan hukum
Yunani       | Nomina     | Negara di Eropa Selatan dengan peradaban kuno
Zakar        | Nomina     | Alat kelamin laki-laki
Zakat fitrah | Nomina     | Zakat yang wajib dikeluarkan pada akhir Ramadan
Xenia        | Nomina     | Jenis mobil keluarga; nama kendaraan niaga
Xenial       | Adjektiva  | Bersifat ramah kepada tamu; suka memberi sambutan hangat
Xerosis      | Nomina     | Kondisi kulit yang sangat kering secara medis
Xylem        | Nomina     | Jaringan tumbuhan yang mengangkut air dari akar ke daun
Xerofit      | Nomina     | Tumbuhan yang mampu hidup di daerah kering dan gersang
Xantofil     | Nomina     | Pigmen kuning dalam tumbuhan sebagai bagian klorofil
Xerografi    | Nomina     | Teknik percetakan menggunakan listrik statis dan bubuk toner
Xenotransplantasi| Nomina | Pencangkokan organ dari spesies berbeda ke manusia
Xylopon      | Nomina     | Alat musik pukul terbuat dari bilah kayu atau logam
Xilofon      | Nomina     | Alat musik perkusi dengan bilah kayu yang dipukul
Yustisi      | Nomina     | Hal yang berkaitan dengan kehakiman dan peradilan
Ziarah       | Nomina     | Kunjungan ke makam atau tempat suci untuk berdoa
Zina         | Nomina     | Perbuatan seksual di luar ikatan pernikahan yang sah
Zinnia       | Nomina     | Tanaman berbunga indah yang berasal dari Meksiko
Zodiak       | Nomina     | Sistem ramalan bintang berdasarkan tanggal kelahiran
Zoogeografi  | Nomina     | Ilmu yang mempelajari persebaran hewan di permukaan bumi
Zoologi      | Nomina     | Cabang biologi yang mempelajari dunia hewan
Zygote       | Nomina     | Sel hasil pembuahan antara sel telur dan sperma
Zirkon       | Nomina     | Mineral kristal bening yang digunakan sebagai batu perhiasan
Zaman edan   | Nomina     | Masa yang penuh kegilaan dan ketidakwajaran
Yuyun        | Nomina     | Nama perempuan; juga nama ikan air tawar
Yadnya       | Nomina     | Persembahan suci dalam tradisi Hindu Bali
Yasinan      | Nomina     | Kegiatan membaca surat Yasin bersama-sama
Yel-yel      | Nomina     | Teriakan bersemangat untuk memberi dukungan
Yoyo         | Nomina     | Mainan berbentuk dua piringan yang diikat tali
Yunani kuno  | Nomina     | Peradaban Yunani pada zaman dahulu yang sangat maju
Yurisdiksi   | Nomina     | Kewenangan hukum suatu lembaga atas wilayah tertentu
Yayasan sosial| Nomina   | Lembaga nirlaba yang bergerak di bidang kemasyarakatan
Yaumul qiyamah| Nomina   | Hari kiamat; hari pembalasan dalam ajaran Islam
Yakin        | Adjektiva  | Percaya sepenuhnya; tidak meragukan sesuatu
Yang         | Pronomina  | Kata penghubung yang menunjuk pada sesuatu
Yatim piatu  | Nomina     | Anak yang tidak lagi memiliki ayah maupun ibu
Yoghurt      | Nomina     | Produk susu fermentasi yang kaya probiotik
Yogi         | Nomina     | Orang yang berlatih yoga; pertapa spiritual Hindu
Yuran        | Nomina     | Iuran; biaya yang dibayarkan secara berkala
Yuridis      | Adjektiva  | Berkaitan dengan hukum; sah secara hukum
Yatim        | Nomina     | Anak yang ditinggal mati ayahnya
Yaumul hisab | Nomina     | Hari perhitungan amal perbuatan manusia kelak
Yaumul mizan | Nomina     | Hari penimbangan amal perbuatan di akhirat
Ziarah kubur | Nomina     | Mengunjungi kuburan untuk mendoakan yang telah wafat
Zamannya     | Nomina     | Eranya; masa kini dari sesuatu yang sedang berlangsung
Zakat mal    | Nomina     | Zakat atas harta kekayaan yang telah mencapai nisab
Zalzalah     | Nomina     | Keguncangan; gempa bumi; nama surat dalam Al-Quran
Zaman keemasan| Nomina   | Periode terbaik dalam suatu peradaban atau karir
Zenith       | Nomina     | Titik tertinggi; puncak pencapaian seseorang
Zikir pagi   | Nomina     | Amalan dzikir yang dilakukan di waktu pagi hari
Zionis       | Nomina     | Pendukung gerakan Zionisme untuk negara Yahudi
Zona nyaman  | Nomina     | Kondisi di mana seseorang merasa aman dan tidak tertekan
Zodiak Barat | Nomina     | Sistem astrologi berdasarkan dua belas rasi bintang
Zooterapi    | Nomina     | Terapi menggunakan interaksi dengan binatang untuk kesehatan
Zooplankton  | Nomina     | Organisme hewan kecil yang melayang di lautan
Zwitterion   | Nomina     | Ion yang membawa muatan positif dan negatif sekaligus
Zarif        | Adjektiva  | Elegan; anggun; memiliki selera yang tinggi
Zeal         | Nomina     | Semangat membara; antusias yang kuat terhadap sesuatu
Zafaran      | Nomina     | Rempah berwarna kuning dari putik bunga crocus; safron
Zahid        | Nomina     | Orang yang hidup sederhana dan menjauhi duniawi
Zahir        | Adjektiva  | Tampak; terlihat; yang bersifat lahiriah
Zakat        | Nomina     | Rukun Islam ke-4; kewajiban mengeluarkan sebagian harta
Zalim        | Adjektiva  | Berbuat aniaya; tidak adil dan menyengsarakan orang lain
Zamrud       | Nomina     | Batu permata berwarna hijau yang berharga
Zat          | Nomina     | Materi; substansi yang menyusun segala benda
Zina         | Nomina     | Hubungan badan di luar ikatan pernikahan yang sah
Zodiak       | Nomina     | Lingkaran rasi bintang yang menjadi dasar astrologi
Zoologi      | Nomina     | Ilmu biologi yang mempelajari kehidupan hewan
Zuhud        | Nomina     | Sikap hidup yang tidak terpaut pada kemewahan dunia
Zuriat       | Nomina     | Keturunan; anak cucu dari suatu garis keluarga
Zonasi       | Nomina     | Pembagian wilayah menjadi zona-zona dengan fungsi tertentu
Zymase       | Nomina     | Enzim yang mengkatalis proses fermentasi gula
Zygospora    | Nomina     | Spora yang terbentuk dari peleburan dua sel yang sejajar
Zig-zag      | Nomina     | Pola gerakan yang berbelok-belok bergantian kiri kanan
Ziggurat     | Nomina     | Bangunan candi bertingkat peradaban Mesopotamia kuno
Zimografi    | Nomina     | Teknik analisis enzim melalui elektroforesis
Zinober      | Nomina     | Warna merah terang; pigmen merah dari merkuri sulfida
Zirkonium    | Nomina     | Unsur logam transisi dengan nomor atom 40
Zoas         | Nomina     | Larva muda dari kepiting dan krustasea lain
Zombifikasi  | Nomina     | Proses mengubah seseorang menjadi tidak punya kehendak
Zonula       | Nomina     | Sabuk kecil; struktur kecil berbentuk cincin dalam anatomi
Zygodaktil   | Adjektiva  | Memiliki jari kaki yang berpasangan seperti pada burung kakatua
Zigot        | Nomina     | Sel hasil pembuahan; sel pertama organisme baru
Zimurgi      | Nomina     | Ilmu atau seni fermentasi dan pembuatan minuman fermentasi
